# tau [ps];  F2NO4S2 [ps*S/m];  F2NO4S2-var [ps^2*S^2/m^2];  C4H10O2 [ps*S/m];  C4H10O2-var [ps^2*S^2/m^2];  Li [ps*S/m];  Li-var [ps^2*S^2/m^2];  F2NO4S2/F2NO4S2 [ps*S/m];  F2NO4S2/F2NO4S2-var [ps^2*S^2/m^2];  C4H10O2/C4H10O2 [ps*S/m];  C4H10O2/C4H10O2-var [ps^2*S^2/m^2];  Li/Li [ps*S/m];  Li/Li-var [ps^2*S^2/m^2];  F2NO4S2/C4H10O2 [ps*S/m];  F2NO4S2/C4H10O2-var [ps^2*S^2/m^2];  F2NO4S2/Li [ps*S/m];  F2NO4S2/Li-var [ps^2*S^2/m^2];  C4H10O2/Li [ps*S/m];  C4H10O2/Li-var [ps^2*S^2/m^2];  total [ps*S/m];  total-var [ps^2*S^2/m^2]
0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000;  0.000000
30.000000;  22.022370;  0.001441;  2.698657;  0.000005;  65.221893;  0.011427;  -5.884336;  0.055585;  -2.157725;  0.000064;  -21.086932;  0.389793;  -5.905708;  0.007359;  -10.547747;  0.313154;  2.257867;  0.010661;  46.618338;  0.425035
60.000000;  40.359757;  0.004931;  5.099148;  0.000015;  119.696194;  0.039562;  -9.993821;  0.203130;  -4.080333;  0.000230;  -37.378943;  1.378673;  -11.117845;  0.026747;  -21.254428;  1.113386;  4.498592;  0.037978;  85.828322;  1.475762
90.000000;  58.112759;  0.010296;  7.464776;  0.000030;  172.576368;  0.081213;  -13.553096;  0.442775;  -5.969530;  0.000502;  -50.749075;  3.033820;  -16.315671;  0.058222;  -31.472124;  2.409524;  6.660729;  0.082092;  126.755136;  3.294017
120.000000;  75.611454;  0.017335;  9.817754;  0.000049;  224.795026;  0.136565;  -16.313892;  0.764378;  -7.827707;  0.000866;  -61.917736;  5.606557;  -21.713344;  0.100688;  -42.228271;  4.248797;  8.932614;  0.145124;  169.155899;  5.773100
150.000000;  92.959056;  0.026413;  12.161164;  0.000071;  276.726051;  0.207778;  -19.362460;  1.204349;  -9.689822;  0.001370;  -72.417115;  8.918914;  -26.956907;  0.158820;  -54.377272;  6.692064;  11.460547;  0.228924;  210.503242;  8.905061
180.000000;  110.197438;  0.037904;  14.495613;  0.000099;  328.173582;  0.300972;  -22.705316;  1.736542;  -11.556394;  0.001995;  -81.722454;  12.874320;  -32.053253;  0.229115;  -66.378141;  9.772401;  13.967056;  0.334169;  252.418132;  12.820664
210.000000;  127.330408;  0.050601;  16.829465;  0.000130;  379.614517;  0.405794;  -25.942295;  2.333226;  -13.422391;  0.002687;  -91.184961;  17.567680;  -37.149571;  0.307947;  -78.327919;  13.384787;  16.463016;  0.457484;  294.210267;  17.472667
240.000000;  144.393758;  0.064834;  19.160300;  0.000165;  430.887213;  0.525776;  -28.782579;  2.976319;  -15.274725;  0.003433;  -99.280259;  23.252983;  -42.363823;  0.392202;  -90.036555;  17.499440;  18.924426;  0.597821;  337.627756;  23.071994
270.000000;  161.346953;  0.081273;  21.486923;  0.000204;  481.876041;  0.660271;  -31.734555;  3.672706;  -17.130265;  0.004241;  -107.100757;  29.788163;  -47.496931;  0.483127;  -101.610570;  21.828821;  21.361305;  0.744946;  380.998145;  29.882246
300.000000;  178.331803;  0.099054;  23.814579;  0.000244;  533.153689;  0.804553;  -34.754009;  4.469380;  -18.988187;  0.005145;  -116.010952;  37.602478;  -52.616172;  0.587975;  -112.965322;  26.592443;  23.752149;  0.906327;  423.717577;  38.263222
330.000000;  195.283195;  0.119634;  26.139923;  0.000288;  584.250776;  0.969588;  -37.071410;  5.342146;  -20.822054;  0.006134;  -125.958772;  45.718991;  -57.976667;  0.702600;  -123.872838;  31.462207;  26.052307;  1.071691;  466.024461;  46.787515
360.000000;  212.248982;  0.142303;  28.465250;  0.000334;  635.412355;  1.157899;  -40.213818;  6.255701;  -22.682858;  0.007183;  -135.939979;  53.394020;  -63.041522;  0.822865;  -134.509890;  36.754690;  28.303559;  1.251530;  508.042079;  54.847303
390.000000;  229.158697;  0.168141;  30.786734;  0.000385;  686.525371;  1.360763;  -43.280616;  7.186451;  -24.539774;  0.008243;  -147.072846;  61.300274;  -68.110276;  0.945145;  -144.318990;  42.100396;  30.395083;  1.432712;  549.543383;  63.436271
420.000000;  246.102143;  0.194521;  33.107883;  0.000436;  737.423598;  1.572797;  -46.399302;  8.209417;  -26.397005;  0.009423;  -157.903364;  70.702983;  -73.172143;  1.079727;  -154.053520;  48.132249;  32.473734;  1.637774;  591.182023;  73.059572
450.000000;  263.024958;  0.221876;  35.428412;  0.000490;  788.190816;  1.804229;  -49.555661;  9.330212;  -28.256034;  0.010677;  -168.807499;  80.498420;  -78.210128;  1.226947;  -163.091072;  54.231286;  34.424154;  1.845328;  633.147946;  82.859698
480.000000;  279.910614;  0.249487;  37.747319;  0.000545;  838.871094;  2.049537;  -52.356139;  10.505457;  -30.101999;  0.012014;  -179.662988;  91.126251;  -83.369005;  1.380961;  -173.438133;  61.366084;  36.612231;  2.089235;  674.212995;  92.868693
510.000000;  296.744273;  0.279889;  40.069958;  0.000602;  889.613739;  2.309559;  -55.090162;  11.797975;  -31.951511;  0.013460;  -191.567363;  102.395920;  -88.531596;  1.550515;  -183.386780;  68.288201;  38.720284;  2.326686;  714.620840;  103.050982
540.000000;  313.591621;  0.312801;  42.394228;  0.000662;  940.509315;  2.589833;  -58.123851;  12.966090;  -33.812345;  0.014775;  -203.469070;  114.905547;  -93.588888;  1.703676;  -192.981205;  76.176043;  40.765174;  2.598860;  755.284980;  113.768817
570.000000;  330.357675;  0.349153;  44.716091;  0.000729;  991.327288;  2.895577;  -60.926442;  14.291163;  -35.665971;  0.016274;  -216.089206;  128.378372;  -98.699888;  1.879058;  -202.385835;  84.374168;  42.769422;  2.880775;  795.403134;  125.424450
600.000000;  347.076451;  0.387115;  47.035753;  0.000799;  1042.152389;  3.225054;  -63.870769;  15.541899;  -37.523109;  0.017667;  -229.440303;  141.785858;  -103.745153;  2.043618;  -212.555469;  92.117458;  44.907084;  3.146606;  834.036874;  137.241796
630.000000;  363.831590;  0.425434;  49.356989;  0.000873;  1093.185560;  3.594981;  -66.727177;  16.677630;  -39.378100;  0.018937;  -244.362418;  154.495882;  -108.833593;  2.192356;  -222.209798;  99.452281;  46.940571;  3.398637;  871.803624;  147.960070
660.000000;  380.550137;  0.463486;  51.675597;  0.000950;  1144.091292;  3.958709;  -69.100851;  17.947632;  -41.215303;  0.020361;  -258.790099;  168.458998;  -114.086509;  2.361358;  -232.468788;  108.068464;  49.086770;  3.695758;  909.742247;  158.773708
690.000000;  397.207224;  0.503712;  53.995947;  0.001035;  1195.058881;  4.341157;  -71.505993;  19.421827;  -43.057699;  0.022022;  -274.673003;  181.920090;  -119.303651;  2.561745;  -242.209951;  117.132558;  51.128101;  4.008942;  946.639855;  168.872969
720.000000;  413.834726;  0.547139;  56.314093;  0.001122;  1245.911779;  4.739508;  -74.767850;  21.027691;  -44.927839;  0.023853;  -289.915687;  196.552389;  -124.194901;  2.778025;  -250.970428;  125.593115;  52.995294;  4.300822;  984.279187;  180.666257
750.000000;  430.542870;  0.590462;  58.631367;  0.001210;  1296.799277;  5.128334;  -78.093533;  22.672876;  -46.796278;  0.025734;  -304.577668;  210.059349;  -129.093705;  3.002577;  -260.104528;  134.469096;  54.935134;  4.604129;  1022.242936;  193.334308
780.000000;  447.253598;  0.637060;  60.947548;  0.001300;  1347.653880;  5.549224;  -81.695216;  24.380833;  -48.673886;  0.027660;  -319.534787;  224.545498;  -133.886386;  3.232238;  -267.490241;  143.345517;  56.554737;  4.908237;  1061.129247;  206.999177
810.000000;  463.948074;  0.685864;  63.263036;  0.001391;  1398.644957;  5.991036;  -85.190847;  26.223720;  -50.547593;  0.029770;  -333.455203;  239.825818;  -138.712940;  3.482011;  -275.196303;  152.921197;  58.241621;  5.237489;  1100.994801;  220.294854
840.000000;  480.706771;  0.736542;  65.576981;  0.001480;  1449.642285;  6.452733;  -88.573763;  28.345077;  -52.414415;  0.032155;  -349.186499;  254.243711;  -143.601193;  3.771516;  -282.228759;  162.659871;  59.792151;  5.571523;  1139.713559;  233.707633
870.000000;  497.481339;  0.790025;  67.890688;  0.001565;  1500.632670;  6.912861;  -91.566433;  30.704431;  -54.266921;  0.034790;  -364.320112;  268.099320;  -148.640672;  4.091345;  -290.201134;  172.988523;  61.518042;  5.926990;  1178.527468;  246.008076
900.000000;  514.219240;  0.844135;  70.203636;  0.001652;  1551.669457;  7.363122;  -94.709634;  33.209911;  -56.124604;  0.037607;  -379.487607;  280.700264;  -153.613461;  4.433872;  -298.520967;  182.423864;  63.307167;  6.252473;  1216.943227;  256.670830
930.000000;  530.976763;  0.898599;  72.514492;  0.001741;  1602.822594;  7.815190;  -97.705472;  35.742766;  -57.974921;  0.040497;  -395.298250;  292.453322;  -158.645667;  4.781025;  -306.512246;  193.224968;  65.032517;  6.622502;  1255.209811;  267.633643
960.000000;  547.689048;  0.956255;  74.826667;  0.001828;  1653.929748;  8.313381;  -100.580549;  38.526328;  -59.824963;  0.043639;  -410.348373;  305.303120;  -163.700304;  5.160016;  -313.205924;  204.432192;  66.527603;  7.005238;  1295.312953;  280.646289
990.000000;  564.363997;  1.015487;  77.136337;  0.001917;  1704.866726;  8.804529;  -103.619080;  41.333289;  -61.679429;  0.046856;  -424.685145;  320.103009;  -168.680281;  5.550335;  -319.462932;  215.743081;  67.947539;  7.392842;  1336.187735;  295.536648
1020.000000;  581.050432;  1.077405;  79.447600;  0.002014;  1755.783544;  9.345037;  -107.422209;  44.035963;  -63.560776;  0.049998;  -439.345680;  335.699012;  -173.384267;  5.930194;  -325.127057;  226.522685;  69.257084;  7.764951;  1376.698670;  309.629621
1050.000000;  597.661175;  1.141863;  81.757236;  0.002107;  1806.565714;  9.879105;  -110.656614;  46.645725;  -65.424198;  0.052944;  -453.571908;  352.060437;  -178.267517;  6.296322;  -330.812808;  236.435471;  70.572874;  8.103695;  1417.823956;  326.242408
1080.000000;  614.290940;  1.204872;  84.065378;  0.002204;  1857.191495;  10.427367;  -113.616633;  49.485762;  -67.275886;  0.056198;  -467.527469;  370.645703;  -183.260415;  6.693168;  -337.279332;  245.924810;  72.031424;  8.428381;  1458.619500;  344.879624
1110.000000;  630.938250;  1.274411;  86.373947;  0.002307;  1907.767519;  10.989656;  -116.790004;  52.155691;  -69.134736;  0.059232;  -481.983622;  390.470527;  -188.180722;  7.067020;  -343.375512;  255.538302;  73.418423;  8.757181;  1499.033542;  364.859759
1140.000000;  647.573157;  1.345285;  88.683247;  0.002413;  1958.454754;  11.573292;  -119.571288;  54.932698;  -70.982246;  0.062357;  -496.322411;  410.543634;  -193.236437;  7.454831;  -348.804939;  265.685215;  74.686032;  9.102370;  1540.479870;  385.908217
1170.000000;  664.219575;  1.420219;  90.991222;  0.002522;  2009.224410;  12.165097;  -122.697792;  57.797021;  -72.839640;  0.065533;  -511.069476;  429.604000;  -198.169849;  7.847977;  -353.969031;  273.775179;  75.902908;  9.376634;  1581.592329;  405.565154
1200.000000;  680.863817;  1.494370;  93.299242;  0.002639;  2059.991202;  12.778437;  -126.459050;  60.291820;  -74.717679;  0.068273;  -526.141037;  448.956113;  -202.874178;  8.194519;  -359.752077;  283.761987;  77.229724;  9.720300;  1621.439962;  424.178682
1230.000000;  697.472163;  1.569666;  95.607191;  0.002762;  2110.536621;  13.394842;  -130.127524;  62.760623;  -76.593440;  0.070924;  -539.939323;  470.718612;  -207.600916;  8.533064;  -365.983620;  293.138646;  78.646169;  10.044985;  1662.017322;  444.149166
1260.000000;  714.119271;  1.643271;  97.914534;  0.002886;  2160.940831;  14.052641;  -134.221192;  65.043916;  -78.481711;  0.073448;  -553.419250;  495.738998;  -212.185231;  8.851624;  -371.701919;  303.207034;  79.970722;  10.390611;  1702.936056;  469.261906
1290.000000;  730.722404;  1.721679;  100.221320;  0.003014;  2211.196313;  14.704265;  -138.643012;  67.271741;  -80.382469;  0.075932;  -568.411594;  522.227164;  -216.630276;  9.168304;  -376.377713;  312.179583;  81.092997;  10.698694;  1742.787968;  496.481836
1320.000000;  747.302560;  1.799142;  102.527052;  0.003151;  2261.214589;  15.385220;  -142.704052;  69.522689;  -82.269936;  0.078556;  -582.366817;  548.007977;  -221.203989;  9.489509;  -382.580140;  322.958439;  82.498863;  11.068819;  1782.418130;  522.118040
1350.000000;  763.920148;  1.881444;  104.833009;  0.003285;  2311.096644;  16.083051;  -146.605000;  71.975617;  -84.151220;  0.081353;  -597.334367;  578.415004;  -225.848951;  9.836989;  -388.644110;  333.644055;  83.870689;  11.436258;  1821.136843;  551.906620
1380.000000;  780.506431;  1.964118;  107.139343;  0.003425;  2360.904942;  16.799652;  -150.245703;  74.706304;  -86.024001;  0.084516;  -609.232340;  612.568544;  -230.584133;  10.222062;  -396.523606;  347.839687;  85.595580;  11.925740;  1861.536513;  584.224512
1410.000000;  797.019097;  2.051289;  109.446959;  0.003567;  2410.800303;  17.532022;  -153.503501;  77.578866;  -87.888383;  0.087814;  -621.650773;  648.830841;  -235.428836;  10.628013;  -403.657494;  363.496096;  87.181634;  12.465270;  1902.319008;  618.860391
1440.000000;  813.620651;  2.141614;  111.755066;  0.003711;  2460.768038;  18.300494;  -156.941291;  79.959243;  -89.756093;  0.090626;  -633.328286;  684.361781;  -240.241299;  10.977353;  -411.016505;  378.175978;  88.814884;  12.972753;  1943.675166;  652.116524
1470.000000;  830.201122;  2.234692;  114.061220;  0.003858;  2510.683970;  19.074535;  -159.717320;  82.325364;  -91.600095;  0.093493;  -645.244566;  718.667643;  -245.289924;  11.321614;  -419.235514;  394.548576;  90.602158;  13.537215;  1984.461052;  684.101747
1500.000000;  846.712569;  2.328782;  116.367326;  0.004002;  2560.595180;  19.895590;  -162.492137;  85.107286;  -93.445793;  0.096823;  -657.396543;  753.576745;  -250.316655;  11.723747;  -428.166099;  411.373345;  92.516876;  14.115894;  2024.374725;  716.644161
1530.000000;  863.265664;  2.418905;  118.675020;  0.004147;  2610.453149;  20.735615;  -165.077182;  87.981226;  -95.284811;  0.100322;  -670.406697;  788.887038;  -255.431012;  12.139049;  -438.008003;  429.596314;  94.590144;  14.742731;  2062.776271;  749.000134
1560.000000;  879.832475;  2.515581;  120.981160;  0.004291;  2660.362671;  21.563950;  -167.090361;  91.041008;  -97.102602;  0.104070;  -683.597136;  825.916684;  -260.760048;  12.577952;  -448.332147;  450.194070;  96.750045;  15.452564;  2101.044057;  781.194845
1590.000000;  896.378968;  2.615732;  123.287333;  0.004440;  2710.372791;  22.409234;  -168.576212;  94.326453;  -98.903744;  0.108031;  -697.673677;  858.852701;  -266.273090;  13.044062;  -458.590812;  470.898000;  98.891976;  16.163853;  2138.913533;  811.321522
1620.000000;  912.893527;  2.717364;  125.590999;  0.004595;  2760.257616;  23.256607;  -169.730470;  97.773173;  -100.692031;  0.112053;  -710.878653;  896.660685;  -271.897461;  13.523400;  -469.477142;  494.785979;  101.153730;  16.983081;  2177.220113;  846.959500
1650.000000;  929.351637;  2.813196;  127.894476;  0.004752;  2810.176376;  24.101813;  -170.852411;  100.758615;  -102.481148;  0.115673;  -724.423775;  934.313550;  -277.511873;  13.945308;  -480.056032;  517.341825;  103.357251;  17.760397;  2215.454500;  880.227093
1680.000000;  945.791064;  2.910868;  130.195664;  0.004908;  2860.112741;  24.978812;  -171.587138;  104.223218;  -104.255371;  0.119806;  -737.358376;  973.888455;  -283.262562;  14.429329;  -491.241023;  542.814527;  105.675764;  18.633908;  2254.070763;  917.092949
1710.000000;  962.178529;  3.009579;  132.497277;  0.005068;  2910.042091;  25.919095;  -172.530887;  107.434552;  -106.037385;  0.123586;  -748.293930;  1014.860634;  -288.925128;  14.870994;  -504.166043;  568.352697;  108.325861;  19.515376;  2293.090384;  951.168585
1740.000000;  978.585839;  3.103748;  134.799273;  0.005242;  2960.056464;  26.818818;  -173.520561;  110.498687;  -107.820506;  0.127365;  -759.350414;  1056.310514;  -294.578977;  15.293215;  -517.287738;  595.677689;  111.011419;  20.455292;  2331.894798;  986.865425
1770.000000;  995.039377;  3.199312;  137.101595;  0.005417;  3010.209114;  27.740021;  -174.850518;  113.766970;  -109.613024;  0.131437;  -769.856470;  1100.284407;  -300.129410;  15.741894;  -531.301873;  623.698835;  113.864467;  21.421651;  2370.463258;  1023.625923
1800.000000;  1011.503658;  3.298397;  139.403266;  0.005595;  3060.256065;  28.684165;  -177.072249;  116.765598;  -111.435044;  0.135227;  -780.385259;  1146.585133;  -305.353822;  16.161841;  -543.807040;  650.970179;  116.442326;  22.364021;  2409.551901;  1062.447347
1830.000000;  1027.941228;  3.401347;  141.704726;  0.005759;  3110.164328;  29.630202;  -179.603678;  119.758443;  -113.267206;  0.139064;  -790.230054;  1192.909368;  -310.460095;  16.574611;  -557.377919;  678.956329;  119.218054;  23.331615;  2448.089384;  1101.993811
1860.000000;  1044.374370;  3.506793;  144.003011;  0.005925;  3159.820790;  30.588938;  -181.745744;  122.581819;  -115.082822;  0.142675;  -799.355339;  1238.272986;  -315.709851;  16.969671;  -571.877051;  706.787703;  122.166071;  24.293757;  2486.593435;  1140.309724
1890.000000;  1060.810483;  3.613143;  146.300489;  0.006090;  3209.444382;  31.585636;  -183.769841;  125.925781;  -116.893912;  0.146876;  -809.323604;  1283.820642;  -321.002125;  17.433163;  -586.005170;  735.111249;  125.039900;  25.271924;  2524.600602;  1178.750325
1920.000000;  1077.262753;  3.722659;  148.599561;  0.006252;  3259.195265;  32.635247;  -185.870016;  129.206242;  -118.709385;  0.150975;  -820.184305;  1330.938751;  -326.268222;  17.884661;  -598.994922;  763.890890;  127.700958;  26.262608;  2562.731688;  1220.228374
1950.000000;  1093.647603;  3.830376;  150.900341;  0.006418;  3308.916659;  33.697679;  -187.815471;  132.914545;  -120.523571;  0.155564;  -830.057103;  1382.022510;  -331.566587;  18.396325;  -612.124829;  795.241639;  130.394894;  27.344240;  2601.771937;  1265.266820
1980.000000;  1110.012659;  3.935418;  153.199089;  0.006574;  3358.267794;  34.796668;  -189.768740;  136.702297;  -122.337522;  0.160144;  -840.543253;  1430.653463;  -336.850125;  18.924427;  -624.014690;  829.332945;  132.855895;  28.521551;  2640.821107;  1306.961689
2010.000000;  1126.294205;  4.037125;  155.498312;  0.006732;  3407.706041;  35.899380;  -191.245840;  141.001969;  -124.138375;  0.165330;  -852.172324;  1476.788325;  -342.279803;  19.516307;  -636.793913;  862.923618;  135.470341;  29.679090;  2678.338645;  1346.754073
2040.000000;  1142.646385;  4.142538;  157.798309;  0.006892;  3457.092605;  37.054302;  -192.717792;  145.614667;  -125.937457;  0.170866;  -862.579612;  1519.023264;  -347.737154;  20.149800;  -649.607319;  893.822908;  138.100044;  30.741174;  2717.058010;  1385.454140
2070.000000;  1159.027021;  4.243940;  160.100826;  0.007048;  3506.611342;  38.206798;  -193.909012;  150.204242;  -127.729516;  0.176465;  -873.735798;  1561.501044;  -353.303262;  20.787366;  -661.487077;  926.418719;  140.555325;  31.860221;  2756.129851;  1423.257216
2100.000000;  1175.397241;  4.352062;  162.400025;  0.007199;  3556.163450;  39.306120;  -194.867115;  155.088318;  -129.510986;  0.182337;  -884.786758;  1614.231310;  -358.949829;  21.453384;  -673.244138;  960.916568;  142.989382;  33.050067;  2795.591271;  1469.013500
2130.000000;  1191.811956;  4.468115;  164.698082;  0.007356;  3605.609688;  40.400839;  -195.882019;  160.273508;  -131.291173;  0.188624;  -895.411771;  1667.783977;  -364.594921;  22.167757;  -685.776006;  993.556650;  145.566704;  34.174135;  2834.730541;  1516.010925
2160.000000;  1208.205775;  4.581861;  166.997021;  0.007530;  3655.303011;  41.537651;  -196.715727;  166.003267;  -133.066119;  0.195512;  -905.227208;  1727.715181;  -370.302741;  22.967419;  -699.464790;  1024.100090;  148.362422;  35.231185;  2874.091644;  1566.611115
2190.000000;  1224.687018;  4.696856;  169.296020;  0.007711;  3704.976928;  42.672073;  -197.115177;  172.085112;  -134.824237;  0.202895;  -914.802517;  1783.794549;  -376.198285;  23.820604;  -712.670806;  1058.746261;  151.072121;  36.426730;  2914.421065;  1614.854967
2220.000000;  1241.162726;  4.804184;  171.596237;  0.007882;  3754.685957;  43.762804;  -197.202952;  178.273613;  -136.572978;  0.210560;  -924.097849;  1841.661565;  -382.207736;  24.695866;  -726.561759;  1093.234311;  153.908716;  37.615337;  2954.710363;  1663.605703
2250.000000;  1257.660798;  4.920542;  173.898701;  0.008054;  3804.496816;  44.887905;  -196.724199;  184.991972;  -138.303776;  0.218991;  -932.676364;  1900.610674;  -388.435241;  25.655695;  -741.496857;  1131.940018;  156.941375;  38.945550;  2995.361253;  1714.124251
2280.000000;  1274.065852;  5.035747;  176.202303;  0.008234;  3854.308078;  45.987993;  -196.022591;  191.450493;  -140.031610;  0.227234;  -941.186044;  1957.667237;  -394.708904;  26.588362;  -756.166395;  1172.376905;  159.926313;  40.330554;  3036.387003;  1765.071744
2310.000000;  1290.464812;  5.157557;  178.502034;  0.008402;  3904.083254;  47.216480;  -195.483207;  198.329513;  -141.760869;  0.236063;  -949.732394;  2017.770610;  -400.922840;  27.582471;  -771.209300;  1212.858871;  162.978534;  41.728724;  3076.920024;  1812.914426
2340.000000;  1306.936771;  5.281774;  180.801977;  0.008589;  3953.855448;  48.524748;  -194.910263;  205.293174;  -143.486460;  0.245064;  -958.712355;  2074.479939;  -407.177528;  28.590393;  -786.776216;  1253.271162;  166.122599;  43.118880;  3116.653973;  1860.889144
2370.000000;  1323.374682;  5.405892;  183.105255;  0.008782;  4003.674087;  49.798123;  -194.639355;  212.518438;  -145.227047;  0.254328;  -967.052070;  2134.983250;  -413.306925;  29.620391;  -801.528251;  1297.946145;  169.123899;  44.662808;  3157.524276;  1908.125778
2400.000000;  1339.804439;  5.541298;  185.408954;  0.008976;  4053.388696;  51.121331;  -194.040892;  219.603132;  -146.957541;  0.263521;  -975.539905;  2191.158217;  -419.552234;  30.634979;  -816.237453;  1341.756090;  172.115466;  46.173097;  3198.389530;  1953.201513
2430.000000;  1356.176302;  5.678142;  187.712306;  0.009178;  4102.943887;  52.424495;  -193.662702;  227.178865;  -148.697408;  0.273088;  -985.737983;  2242.436897;  -425.693659;  31.702896;  -830.224345;  1383.276084;  174.961327;  47.591863;  3237.777724;  2000.846671
2460.000000;  1372.603249;  5.807457;  190.014254;  0.009384;  4152.514712;  53.748560;  -193.002676;  234.297876;  -150.423947;  0.282239;  -994.804254;  2294.877721;  -431.961842;  32.706624;  -845.327256;  1428.760050;  178.018852;  49.149743;  3277.631093;  2047.077270
2490.000000;  1388.993703;  5.942950;  192.315953;  0.009585;  4202.129350;  55.055488;  -192.541361;  241.374377;  -152.158363;  0.291407;  -1005.148775;  2344.259671;  -438.142659;  33.714901;  -859.941785;  1471.472941;  180.978089;  50.612288;  3316.484152;  2090.970396
2520.000000;  1405.350803;  6.082555;  194.616899;  0.009806;  4251.688348;  56.322818;  -192.186849;  248.231381;  -153.896568;  0.300339;  -1015.196736;  2398.885319;  -444.272989;  34.679933;  -874.672681;  1515.542518;  183.960333;  52.136623;  3355.390559;  2132.423537
2550.000000;  1421.661690;  6.219427;  196.913817;  0.010020;  4301.044162;  57.500434;  -191.861805;  256.667862;  -155.633487;  0.311146;  -1024.825140;  2454.265587;  -450.374466;  35.860424;  -889.054519;  1559.484260;  186.880823;  53.657482;  3394.751074;  2174.307436
2580.000000;  1437.999232;  6.351913;  199.212066;  0.010230;  4350.357895;  58.753446;  -192.008427;  264.457071;  -157.386700;  0.321167;  -1033.328463;  2507.041478;  -456.312642;  36.951613;  -903.029378;  1606.296407;  189.735733;  55.273013;  3435.239315;  2214.774425
2610.000000;  1454.391271;  6.494458;  201.507999;  0.010452;  4399.585193;  60.021320;  -192.047596;  273.232570;  -159.132608;  0.332368;  -1043.208033;  2553.033830;  -462.307832;  38.180965;  -916.527307;  1655.762112;  192.492671;  56.978940;  3474.753758;  2247.685906
2640.000000;  1470.818504;  6.642547;  203.803256;  0.010669;  4448.909532;  61.311360;  -192.318349;  282.259374;  -160.884696;  0.343983;  -1052.252939;  2600.690991;  -468.229517;  39.453751;  -929.473983;  1706.416017;  195.156643;  58.725481;  3515.528450;  2281.643680
2670.000000;  1487.208483;  6.792784;  206.099748;  0.010900;  4498.345819;  62.564261;  -192.599634;  290.984408;  -162.639726;  0.355410;  -1062.722928;  2647.276408;  -474.133240;  40.686848;  -942.266470;  1755.629432;  197.782444;  60.426471;  3555.074497;  2311.523335
2700.000000;  1503.628617;  6.947849;  208.394995;  0.011132;  4547.516722;  63.973385;  -192.789262;  300.403590;  -164.389507;  0.367508;  -1072.226242;  2690.639467;  -480.081075;  42.011396;  -955.018229;  1807.920232;  200.406267;  62.222992;  3595.442288;  2344.014064
2730.000000;  1520.054767;  7.096803;  210.688179;  0.011379;  4596.451019;  65.374180;  -193.066291;  309.837413;  -166.139192;  0.379549;  -1081.843730;  2732.667755;  -486.003318;  43.343291;  -968.801103;  1861.381944;  203.214744;  64.061423;  3634.555075;  2373.721699
2760.000000;  1536.429890;  7.253162;  212.979967;  0.011636;  4645.517365;  66.750948;  -193.734554;  319.153578;  -167.901923;  0.391704;  -1090.673873;  2778.963760;  -491.765650;  44.666486;  -982.795087;  1911.388560;  206.068689;  65.781544;  3674.124825;  2407.547796
2790.000000;  1552.840865;  7.398085;  215.271993;  0.011893;  4694.729955;  68.147071;  -194.046804;  328.283619;  -169.650836;  0.403578;  -1097.926836;  2822.324896;  -497.676400;  45.959332;  -998.342639;  1962.714067;  209.218260;  67.550290;  3714.417560;  2437.180568
2820.000000;  1569.272088;  7.541225;  217.566893;  0.012155;  4743.993366;  69.539540;  -194.634201;  337.295195;  -171.411700;  0.415331;  -1105.068007;  2866.347389;  -503.490859;  47.250533;  -1012.944644;  2015.935728;  212.197272;  69.385058;  3755.480209;  2465.307394
2850.000000;  1585.661138;  7.688112;  219.860883;  0.012422;  4793.078096;  70.940013;  -195.201122;  345.948130;  -173.172185;  0.426681;  -1112.109123;  2912.493346;  -509.298468;  48.489253;  -1027.814651;  2070.860998;  215.224375;  71.281101;  3796.228944;  2494.238633
2880.000000;  1602.077309;  7.841413;  222.154835;  0.012685;  4842.232883;  72.320244;  -195.213560;  354.963290;  -174.912900;  0.438301;  -1118.218866;  2959.311391;  -515.320264;  49.775357;  -1043.413760;  2123.905958;  218.391706;  73.112098;  3837.777384;  2524.398126
2910.000000;  1618.487974;  7.983355;  224.449389;  0.012957;  4891.455621;  73.786384;  -194.950307;  364.283912;  -176.645367;  0.450087;  -1124.567190;  3010.538034;  -521.439874;  51.104254;  -1058.915160;  2180.879221;  221.539964;  75.072935;  3879.415050;  2563.100973
2940.000000;  1634.879991;  8.134290;  226.742745;  0.013216;  4940.523372;  75.097239;  -194.067741;  373.184361;  -178.356827;  0.461291;  -1132.321937;  3057.527852;  -527.777774;  52.376870;  -1074.415199;  2238.797505;  224.675902;  77.057464;  3919.882532;  2602.763658
2970.000000;  1651.251683;  8.275657;  229.037705;  0.013501;  4989.585916;  76.501284;  -193.156503;  382.772763;  -180.069118;  0.473453;  -1141.252727;  3099.908785;  -534.121540;  53.754192;  -1090.647821;  2296.040093;  227.935826;  79.021788;  3958.563422;  2633.409670
3000.000000;  1667.631341;  8.409944;  231.330175;  0.013795;  5038.579469;  77.884273;  -192.294864;  392.891036;  -181.780355;  0.486101;  -1148.762066;  3145.695896;  -540.449729;  55.192279;  -1106.764887;  2356.385999;  231.185209;  81.096732;  3998.674293;  2665.392679
